symbol,industry,index_source,turnover_cr,rs_blend_raw,rs_improving,stage,last_close,rs_pctile,tag
AMBER,Consumer Durables,smallcap250,206.53,1.159,False,3,7261.5,62.133550488599354,BROKEN
LUMAXTECH,Automobile and Auto Components,microcap250,17.62,1.157,False,3,1465.800048828125,61.72638436482085,BROKEN
INDUSINDBK,Financial Services,midcap150,293.09,1.157,True,2,996.0499877929688,61.72638436482085,CONFIRMED
PTCIL,Capital Goods,smallcap250,25.01,1.157,True,3,17732.0,61.72638436482085,WATCH
ADVENZYMES,Healthcare,microcap250,14.95,1.156,False,2,317.3500061035156,61.40065146579805,WATCH
SHARDACROP,Chemicals,microcap250,12.84,1.152,False,1,872.9500122070312,61.07491856677525,WATCH
REFEX,Utilities,microcap250,24.75,1.152,False,2,316.0,61.07491856677525,WATCH
RAINBOW,Healthcare,smallcap250,12.78,1.152,False,2,1457.800048828125,61.07491856677525,WATCH
MANKIND,Healthcare,midcap150,94.28,1.149,False,2,2507.199951171875,60.66775244299675,WATCH
JBMA,Automobile and Auto Components,smallcap250,31.71,1.149,False,2,656.0499877929688,60.66775244299675,WATCH
CENTURYPLY,Consumer Durables,microcap250,3.47,1.147,False,3,792.2000122070312,60.423452768729646,WATCH
NIACL,Financial Services,midcap150,32.46,1.146,False,3,173.1999969482422,60.17915309446254,WATCH
EPL,Capital Goods,microcap250,12.69,1.146,False,2,233.05999755859372,60.17915309446254,CONFIRMED
SANDUMA,Metals & Mining,microcap250,15.07,1.08,True,1,195.0399932861328,51.54723127035831,WATCH
SMLMAH,Capital Goods,microcap250,30.99,1.076,True,1,3844.39990234375,50.814332247557005,WATCH
NUVOCO,Construction Materials,smallcap250,165.52,1.073,True,1,356.04998779296875,50.4071661237785,WATCH
POONAWALLA,Financial Services,smallcap250,79.05,1.072,True,1,459.7000122070313,50.1628664495114,ANTICIPATION
ASAHIINDIA,Automobile and Auto Components,smallcap250,13.2,1.055,True,1,888.2999877929688,47.47557003257329,ANTICIPATION
INDIACEM,Construction Materials,smallcap250,15.98,1.048,True,1,407.0,46.33550488599349,ANTICIPATION
ASHOKLEY,Capital Goods,midcap150,306.33,1.042,True,1,151.07000732421875,45.35830618892508,WATCH
HEMIPROP,Services,microcap250,5.52,1.041,True,1,133.3699951171875,44.951140065146575,WATCH
BLUEJET,Healthcare,smallcap250,56.26,1.01,True,1,566.9000244140625,41.77524429967427,WATCH
ABBOTINDIA,Healthcare,midcap150,40.26,1.001,True,1,28005.0,40.06514657980456,ANTICIPATION
INDUSTOWER,Telecommunication,midcap150,259.1,1.0,True,1,394.6000061035156,39.73941368078176,ANTICIPATION
PNCINFRA,Construction,microcap250,11.96,0.986,True,1,238.2100067138672,36.97068403908795,WATCH
CHALET,Consumer Services,smallcap250,9.0,0.986,True,1,814.4000244140625,36.97068403908795,ANTICIPATION
FIVESTAR,Financial Services,smallcap250,42.81,0.976,True,1,535.2000122070312,35.66775244299674,WATCH
IFBIND,Consumer Durables,microcap250,16.89,0.971,True,1,1304.0999755859375,35.42345276872964,WATCH
SUBROS,Capital Goods,microcap250,4.97,0.968,True,1,781.9500122070312,34.93485342019544,WATCH
ECLERX,Services,smallcap250,112.47,0.965,True,1,1861.5,34.20195439739413,WATCH
AIIL,Financial Services,midcap150,24.9,0.955,True,1,531.0999755859375,32.410423452768725,WATCH
RBA,Consumer Services,microcap250,30.63,0.954,True,1,65.16000366210938,32.00325732899022,WATCH
JUBLPHARMA,Healthcare,smallcap250,13.17,0.939,True,1,965.3499755859376,30.781758957654727,ANTICIPATION
CDSL,Financial Services,smallcap250,269.81,0.935,True,1,1333.0999755859375,29.80456026058632,ANTICIPATION
PGEL,Consumer Durables,smallcap250,128.96,0.934,True,1,572.4500122070312,29.31596091205212,WATCH
